sample_name,mgrast_id,age,air_temp_regm,antibiotic_regm,body_product,chem_administration,chem_mutagen,climate_environment,disease_stat,dry_mass,fertilizer_regm,fungicide_regm,gaseous_environment,genotype,gravity,growth_hormone_regm,growth_med,height_or_length,herbicide_regm,host_common_name,host_taxid,humidity_regm,infra_specific_name,infra_specific_rank,life_stage,mechanical_damage,mineral_nutr_regm,misc_param,misc_param_1,non_mineral_nutr_regm,organism_count,oxy_stat_samp,perturbation,pesticide_regm,ph_regm,phenotype,plant_body_site,plant_product,radiation_regm,rainfall_regm,salt_regm,samp_salinity,samp_store_dur,samp_store_loc,samp_store_temp,season_environment,standing_water_regm,tiss_cult_growth_med,tot_mass,water_temp_regm,watering_regm,wet_mass
mgs24882,mge37503,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24883,mge37504,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24884,mge37505,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24885,mge37506,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24886,mge37507,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24890,mge37509,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24891,mge37510,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24892,mge37511,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24893,mge37512,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24894,mge37513,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24895,mge37514,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24896,mge37515,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24897,mge37516,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24898,mge37517,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24899,mge37518,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24901,mge37520,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24902,mge37521,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24903,mge37522,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24904,mge37523,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24905,mge37524,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24906,mge37525,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24907,mge37526,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24908,mge37527,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24909,mge37528,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24910,mge37529,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24912,mge37531,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24913,mge37532,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24914,mge37533,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24915,mge37534,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24916,mge37535,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24917,mge37536,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24918,mge37537,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24919,mge37538,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24920,mge37539,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24921,mge37540,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24923,mge37542,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24924,mge37543,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24925,mge37544,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24926,mge37545,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24927,mge37546,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24928,mge37547,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24929,mge37548,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24930,mge37549,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24931,mge37550,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24932,mge37551,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24934,mge37553,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24935,mge37554,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24936,mge37555,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24937,mge37556,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24938,mge37557,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24939,mge37558,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24940,mge37559,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24941,mge37560,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24942,mge37561,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24943,mge37562,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24945,mge37564,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24946,mge37565,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24947,mge37566,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24948,mge37567,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24949,mge37568,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24950,mge37569,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24951,mge37570,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24952,mge37571,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24953,mge37572,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24954,mge37573,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24956,mge37575,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24957,mge37576,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24958,mge37577,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24959,mge37578,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24960,mge37579,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24961,mge37580,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24962,mge37581,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24963,mge37582,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24964,mge37583,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24965,mge37584,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24967,mge37586,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24968,mge37587,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24969,mge37588,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24970,mge37589,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24971,mge37590,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24972,mge37591,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24973,mge37592,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24974,mge37593,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24975,mge37594,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24976,mge37595,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24978,mge37597,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24979,mge37598,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24980,mge37599,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24981,mge37600,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24982,mge37601,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24983,mge37602,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24984,mge37603,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24985,mge37604,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24986,mge37605,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24987,mge37606,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24989,mge37608,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24990,mge37609,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24991,mge37610,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24992,mge37611,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24993,mge37612,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24994,mge37613,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
