sample_name,mgrast_id,biome,collection_date,country,env_package,feature,latitude,location,longitude,material,collection_time,collection_timezone,altitude,biotic_relationship,depth,elevation,encoded_traits,estimated_size,experimental_factor,extrachrom_elements,health_disease_stat,host_spec_range,isol_growth_condt,misc_param,misc_param_1,misc_param_10,misc_param_11,misc_param_2,misc_param_3,misc_param_4,misc_param_5,misc_param_6,misc_param_7,misc_param_8,misc_param_9,num_replicons,pathogenicity,ph,propagation,ref_biomaterial,rel_to_oxygen,samp_collect_device,samp_mat_process,samp_size,source_mat_id,specific_host,subspecf_gen_lin,temperature,trophic_level,continent,sample_id,sample_strategy
mgs24882,mgs24882,feces,None,United States of America,plant-associated,feces,38.646991,,-90.224967,feces,,,0,,0,256,,,,,,,,,DESCRIPTION: Sample_for_GlobalGutPaper,ANONYMIZED_NAME: ggs88,REGION: None,KEY_SEQ: GACT,PLATFORM: Titanium,public: n,SAMPLE_CENTER: CGS-GL,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",assigned_from_geo: n,LINKER: None,TAXON_ID: 9606,,,,,,,,,".1, gram",,,,,,,qiime:234747,
mgs24883,mgs24883,feces,None,United States of America,plant-associated,feces,39.952335,,-75.163789,feces,,,0,,0,39,,,,,,,,,LINKER: None,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",SAMPLE_CENTER: CGS-GL,TAXON_ID: 9606,assigned_from_geo: n,ANONYMIZED_NAME: ggs56,REGION: None,PLATFORM: Titanium,public: n,DESCRIPTION: Sample_for_GlobalGutPaper,KEY_SEQ: GACT,,,,,,,,,".1, gram",,,,,,,qiime:234748,
mgs24884,mgs24884,feces,None,United States of America,plant-associated,feces,38.646991,,-90.224967,feces,,,0,,0,256,,,,,,,,,LINKER: None,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",SAMPLE_CENTER: CGS-GL,TAXON_ID: 9606,assigned_from_geo: n,ANONYMIZED_NAME: ggs66,REGION: None,PLATFORM: Titanium,public: n,DESCRIPTION: Sample_for_GlobalGutPaper,KEY_SEQ: GACT,,,,,,,,,".1, gram",,,,,,,qiime:234749,
mgs24885,mgs24885,feces,None,Venezuela,plant-associated,feces,5.425833,,-67.646389,feces,,,0,,0,78,,,,,,,,,LINKER: None,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",SAMPLE_CENTER: CGS-GL,TAXON_ID: 9606,assigned_from_geo: n,REGION: None,ANONYMIZED_NAME: ggs7,PLATFORM: Titanium,public: n,DESCRIPTION: Sample_for_GlobalGutPaper,KEY_SEQ: GACT,,,,,,,,,".1, gram",,,,,,,qiime:234750,
mgs24886,mgs24886,feces,None,United States of America,plant-associated,feces,38.646991,,-90.224967,feces,,,0,,0,256,,,,,,,,,assigned_from_geo: n,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",SAMPLE_CENTER: CGS-GL,LINKER: None,TAXON_ID: 9606,REGION: None,ANONYMIZED_NAME: ggs87,DESCRIPTION: Sample_for_GlobalGutPaper,KEY_SEQ: GACT,PLATFORM: Titanium,public: n,,,,,,,,,".1, gram",,,,,,,qiime:234751,
mgs24890,mgs24890,feces,None,United States of America,plant-associated,feces,40.0149856,,-105.2705456,feces,,,0,,0,1629,,,,,,,,,REGION: None,DESCRIPTION: Sample_for_GlobalGutPaper,KEY_SEQ: GACT,ANONYMIZED_NAME: ggs53,LINKER: None,TAXON_ID: 9606,assigned_from_geo: n,SAMPLE_CENTER: CGS-GL,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",PLATFORM: Titanium,public: n,,,,,,,,,".1, gram",,,,,,,qiime:234752,
mgs24891,mgs24891,feces,None,Venezuela,plant-associated,feces,5.425833,,-67.646389,feces,,,0,,0,78,,,,,,,,,REGION: None,DESCRIPTION: Sample_for_GlobalGutPaper,KEY_SEQ: GACT,ANONYMIZED_NAME: ggs5,LINKER: None,TAXON_ID: 9606,assigned_from_geo: n,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",SAMPLE_CENTER: CGS-GL,PLATFORM: Titanium,public: n,,,,,,,,,".1, gram",,,,,,,qiime:234753,
mgs24892,mgs24892,feces,None,United States of America,plant-associated,feces,38.646991,,-90.224967,feces,,,0,,0,256,,,,,,,,,PLATFORM: Titanium,REGION: None,ANONYMIZED_NAME: ggs79,public: n,DESCRIPTION: Sample_for_GlobalGutPaper,KEY_SEQ: GACT,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",SAMPLE_CENTER: CGS-GL,LINKER: None,TAXON_ID: 9606,assigned_from_geo: n,,,,,,,,,".1, gram",,,,,,,qiime:234754,
mgs24893,mgs24893,feces,None,United States of America,plant-associated,feces,37.09024,,-95.712891,feces,,,0,,0,256,,,,,,,,,REGION: None,KEY_SEQ: GACT,DESCRIPTION: Sample_for_GlobalGutPaper,ANONYMIZED_NAME: ggs110,TAXON_ID: 9606,LINKER: None,assigned_from_geo: y,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",SAMPLE_CENTER: CGS-GL,public: n,PLATFORM: Titanium,,,,,,,,,".1, gram",,,,,,,qiime:234755,
mgs24894,mgs24894,feces,None,Malawi,plant-associated,feces,-15.38,,35.3,feces,,,0,,0,2991,,,,,,,,,REGION: None,PLATFORM: Titanium,public: n,ANONYMIZED_NAME: ggs30,assigned_from_geo: n,LINKER: None,TAXON_ID: 9606,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",SAMPLE_CENTER: CGS-GL,DESCRIPTION: Sample_for_GlobalGutPaper,KEY_SEQ: GACT,,,,,,,,,".1, gram",,,,,,,qiime:234756,
mgs24895,mgs24895,feces,None,United States of America,plant-associated,feces,38.646991,,-90.224967,feces,,,0,,0,256,,,,,,,,,ANONYMIZED_NAME: ggs101,KEY_SEQ: GACT,DESCRIPTION: Sample_for_GlobalGutPaper,REGION: None,TAXON_ID: 9606,LINKER: None,assigned_from_geo: n,SAMPLE_CENTER: CGS-GL,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",public: n,PLATFORM: Titanium,,,,,,,,,".1, gram",,,,,,,qiime:234757,
mgs24896,mgs24896,feces,None,United States of America,plant-associated,feces,37.09024,,-95.712891,feces,,,0,,0,256,,,,,,,,,ANONYMIZED_NAME: ggs108,public: n,PLATFORM: Titanium,REGION: None,assigned_from_geo: y,TAXON_ID: 9606,LINKER: None,SAMPLE_CENTER: CGS-GL,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",KEY_SEQ: GACT,DESCRIPTION: Sample_for_GlobalGutPaper,,,,,,,,,".1, gram",,,,,,,qiime:234758,
mgs24897,mgs24897,feces,None,United States of America,plant-associated,feces,38.646991,,-90.224967,feces,,,0,,0,256,,,,,,,,,REGION: None,public: n,PLATFORM: Titanium,ANONYMIZED_NAME: ggs75,assigned_from_geo: n,TAXON_ID: 9606,LINKER: None,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",SAMPLE_CENTER: CGS-GL,KEY_SEQ: GACT,DESCRIPTION: Sample_for_GlobalGutPaper,,,,,,,,,".1, gram",,,,,,,qiime:234759,
mgs24898,mgs24898,feces,None,United States of America,plant-associated,feces,39.952335,,-75.163789,feces,,,0,,0,39,,,,,,,,,ANONYMIZED_NAME: ggs60,DESCRIPTION: Sample_for_GlobalGutPaper,KEY_SEQ: GACT,REGION: None,LINKER: None,TAXON_ID: 9606,assigned_from_geo: n,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",SAMPLE_CENTER: CGS-GL,PLATFORM: Titanium,public: n,,,,,,,,,".1, gram",,,,,,,qiime:234760,
mgs24899,mgs24899,feces,None,Venezuela,plant-associated,feces,5.425833,,-67.646389,feces,,,0,,0,77,,,,,,,,,DESCRIPTION: Sample_for_GlobalGutPaper,REGION: None,ANONYMIZED_NAME: ggs19,KEY_SEQ: GACT,PLATFORM: Titanium,public: n,SAMPLE_CENTER: CGS-GL,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",assigned_from_geo: n,LINKER: None,TAXON_ID: 9606,,,,,,,,,".1, gram",,,,,,,qiime:234761,
mgs24901,mgs24901,feces,None,Malawi,plant-associated,feces,-15.38,,35.3,feces,,,0,,0,2991,,,,,,,,,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",TAXON_ID: 9606,assigned_from_geo: n,SAMPLE_CENTER: CGS-GL,PLATFORM: Titanium,public: n,DESCRIPTION: Sample_for_GlobalGutPaper,KEY_SEQ: GACT,ANONYMIZED_NAME: ggs26,REGION: None,LINKER: None,,,,,,,,,".1, gram",,,,,,,qiime:234762,
mgs24902,mgs24902,feces,None,Venezuela,plant-associated,feces,5.425833,,-67.646389,feces,,,0,,0,77,,,,,,,,,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",LINKER: None,assigned_from_geo: n,SAMPLE_CENTER: CGS-GL,public: n,PLATFORM: Titanium,KEY_SEQ: GACT,DESCRIPTION: Sample_for_GlobalGutPaper,REGION: None,ANONYMIZED_NAME: ggs17,TAXON_ID: 9606,,,,,,,,,".1, gram",,,,,,,qiime:234763,
mgs24903,mgs24903,feces,None,Malawi,plant-associated,feces,-15.38,,35.3,feces,,,0,,0,2991,,,,,,,,,DESCRIPTION: Sample_for_GlobalGutPaper,REGION: None,ANONYMIZED_NAME: ggs27,KEY_SEQ: GACT,PLATFORM: Titanium,public: n,SAMPLE_CENTER: CGS-GL,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",assigned_from_geo: n,LINKER: None,TAXON_ID: 9606,,,,,,,,,".1, gram",,,,,,,qiime:234764,
mgs24904,mgs24904,feces,None,United States of America,plant-associated,feces,38.646991,,-90.224967,feces,,,0,,0,256,,,,,,,,,LINKER: None,SAMPLE_CENTER: CGS-GL,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",TAXON_ID: 9606,assigned_from_geo: n,REGION: None,ANONYMIZED_NAME: ggs95,PLATFORM: Titanium,public: n,DESCRIPTION: Sample_for_GlobalGutPaper,KEY_SEQ: GACT,,,,,,,,,".1, gram",,,,,,,qiime:234765,
mgs24905,mgs24905,feces,None,United States of America,plant-associated,feces,38.646991,,-90.224967,feces,,,0,,0,256,,,,,,,,,TAXON_ID: 9606,SAMPLE_CENTER: CGS-GL,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",LINKER: None,assigned_from_geo: n,ANONYMIZED_NAME: ggs91,REGION: None,public: n,PLATFORM: Titanium,KEY_SEQ: GACT,DESCRIPTION: Sample_for_GlobalGutPaper,,,,,,,,,".1, gram",,,,,,,qiime:234766,
mgs24906,mgs24906,feces,None,United States of America,plant-associated,feces,38.646991,,-90.224967,feces,,,0,,0,256,,,,,,,,,assigned_from_geo: n,SAMPLE_CENTER: CGS-GL,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",LINKER: None,TAXON_ID: 9606,REGION: None,ANONYMIZED_NAME: ggs97,DESCRIPTION: Sample_for_GlobalGutPaper,KEY_SEQ: GACT,PLATFORM: Titanium,public: n,,,,,,,,,".1, gram",,,,,,,qiime:234767,
mgs24907,mgs24907,feces,None,Venezuela,plant-associated,feces,5.425833,,-67.646389,feces,,,0,,0,78,,,,,,,,,assigned_from_geo: n,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",SAMPLE_CENTER: CGS-GL,LINKER: None,TAXON_ID: 9606,REGION: None,ANONYMIZED_NAME: ggs12,DESCRIPTION: Sample_for_GlobalGutPaper,KEY_SEQ: GACT,PLATFORM: Titanium,public: n,,,,,,,,,".1, gram",,,,,,,qiime:234768,
mgs24908,mgs24908,feces,None,United States of America,plant-associated,feces,38.646991,,-90.224967,feces,,,0,,0,256,,,,,,,,,TAXON_ID: 9606,SAMPLE_CENTER: CGS-GL,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",LINKER: None,assigned_from_geo: n,ANONYMIZED_NAME: ggs81,REGION: None,public: n,PLATFORM: Titanium,KEY_SEQ: GACT,DESCRIPTION: Sample_for_GlobalGutPaper,,,,,,,,,".1, gram",,,,,,,qiime:234769,
mgs24909,mgs24909,feces,None,Malawi,plant-associated,feces,-15.38,,35.3,feces,,,0,,0,2991,,,,,,,,,REGION: None,KEY_SEQ: GACT,DESCRIPTION: Sample_for_GlobalGutPaper,ANONYMIZED_NAME: ggs47,TAXON_ID: 9606,LINKER: None,assigned_from_geo: n,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",SAMPLE_CENTER: CGS-GL,public: n,PLATFORM: Titanium,,,,,,,,,".1, gram",,,,,,,qiime:234770,
mgs24910,mgs24910,feces,None,Malawi,plant-associated,feces,-15.38,,35.3,feces,,,0,,0,2991,,,,,,,,,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",LINKER: None,assigned_from_geo: n,SAMPLE_CENTER: CGS-GL,public: n,PLATFORM: Titanium,KEY_SEQ: GACT,DESCRIPTION: Sample_for_GlobalGutPaper,REGION: None,ANONYMIZED_NAME: ggs29,TAXON_ID: 9606,,,,,,,,,".1, gram",,,,,,,qiime:234771,
mgs24912,mgs24912,feces,None,United States of America,plant-associated,feces,38.646991,,-90.224967,feces,,,0,,0,256,,,,,,,,,assigned_from_geo: n,SAMPLE_CENTER: CGS-GL,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",LINKER: None,TAXON_ID: 9606,ANONYMIZED_NAME: ggs72,REGION: None,DESCRIPTION: Sample_for_GlobalGutPaper,KEY_SEQ: GACT,PLATFORM: Titanium,public: n,,,,,,,,,".1, gram",,,,,,,qiime:234772,
mgs24913,mgs24913,feces,None,Malawi,plant-associated,feces,-15.38,,35.3,feces,,,0,,0,2991,,,,,,,,,DESCRIPTION: Sample_for_GlobalGutPaper,REGION: None,ANONYMIZED_NAME: ggs32,KEY_SEQ: GACT,PLATFORM: Titanium,public: n,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",SAMPLE_CENTER: CGS-GL,assigned_from_geo: n,LINKER: None,TAXON_ID: 9606,,,,,,,,,".1, gram",,,,,,,qiime:234773,
mgs24914,mgs24914,feces,None,United States of America,plant-associated,feces,38.646991,,-90.224967,feces,,,0,,0,256,,,,,,,,,public: n,REGION: None,ANONYMIZED_NAME: ggs69,PLATFORM: Titanium,KEY_SEQ: GACT,DESCRIPTION: Sample_for_GlobalGutPaper,SAMPLE_CENTER: CGS-GL,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",TAXON_ID: 9606,LINKER: None,assigned_from_geo: n,,,,,,,,,".1, gram",,,,,,,qiime:234774,
mgs24915,mgs24915,feces,None,Malawi,plant-associated,feces,-15.38,,35.3,feces,,,0,,0,2991,,,,,,,,,REGION: None,PLATFORM: Titanium,public: n,ANONYMIZED_NAME: ggs35,assigned_from_geo: n,LINKER: None,TAXON_ID: 9606,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",SAMPLE_CENTER: CGS-GL,DESCRIPTION: Sample_for_GlobalGutPaper,KEY_SEQ: GACT,,,,,,,,,".1, gram",,,,,,,qiime:234775,
mgs24916,mgs24916,feces,None,United States of America,plant-associated,feces,38.646991,,-90.224967,feces,,,0,,0,256,,,,,,,,,TAXON_ID: 9606,SAMPLE_CENTER: CGS-GL,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",LINKER: None,assigned_from_geo: n,REGION: None,ANONYMIZED_NAME: ggs71,public: n,PLATFORM: Titanium,KEY_SEQ: GACT,DESCRIPTION: Sample_for_GlobalGutPaper,,,,,,,,,".1, gram",,,,,,,qiime:234776,
mgs24917,mgs24917,feces,None,Malawi,plant-associated,feces,-15.38,,35.3,feces,,,0,,0,2991,,,,,,,,,TAXON_ID: 9606,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",SAMPLE_CENTER: CGS-GL,LINKER: None,assigned_from_geo: n,ANONYMIZED_NAME: ggs40,REGION: None,public: n,PLATFORM: Titanium,KEY_SEQ: GACT,DESCRIPTION: Sample_for_GlobalGutPaper,,,,,,,,,".1, gram",,,,,,,qiime:234777,
mgs24918,mgs24918,feces,None,Malawi,plant-associated,feces,-15.38,,35.3,feces,,,0,,0,2991,,,,,,,,,SAMPLE_CENTER: CGS-GL,LINKER: None,TAXON_ID: 9606,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",DESCRIPTION: Sample_for_GlobalGutPaper,KEY_SEQ: GACT,PLATFORM: Titanium,public: n,REGION: None,ANONYMIZED_NAME: ggs46,assigned_from_geo: n,,,,,,,,,".1, gram",,,,,,,qiime:234778,
mgs24919,mgs24919,feces,None,Malawi,plant-associated,feces,-15.38,,35.3,feces,,,0,,0,2991,,,,,,,,,PLATFORM: Titanium,REGION: None,ANONYMIZED_NAME: ggs36,public: n,DESCRIPTION: Sample_for_GlobalGutPaper,KEY_SEQ: GACT,SAMPLE_CENTER: CGS-GL,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",LINKER: None,TAXON_ID: 9606,assigned_from_geo: n,,,,,,,,,".1, gram",,,,,,,qiime:234779,
mgs24920,mgs24920,feces,None,United States of America,plant-associated,feces,38.646991,,-90.224967,feces,,,0,,0,256,,,,,,,,,REGION: None,PLATFORM: Titanium,public: n,ANONYMIZED_NAME: ggs70,assigned_from_geo: n,LINKER: None,TAXON_ID: 9606,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",SAMPLE_CENTER: CGS-GL,DESCRIPTION: Sample_for_GlobalGutPaper,KEY_SEQ: GACT,,,,,,,,,".1, gram",,,,,,,qiime:234780,
mgs24921,mgs24921,feces,None,United States of America,plant-associated,feces,39.952335,,-75.163789,feces,,,0,,0,39,,,,,,,,,public: n,ANONYMIZED_NAME: ggs55,REGION: None,PLATFORM: Titanium,KEY_SEQ: GACT,DESCRIPTION: Sample_for_GlobalGutPaper,SAMPLE_CENTER: CGS-GL,"TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",TAXON_ID: 9606,LINKER: None,assigned_from_geo: n,,,,,,,,,".1, gram",,,,,,,qiime:234781,
