sample_name,mgrast_id,metagenome_id,metagenome_name,investigation_type,seq_meth,target_gene,adapters,forward_primers,lib_const_meth,lib_reads_seqd,lib_screen,lib_size,lib_vector,misc_param,misc_param_1,misc_param_2,misc_param_3,misc_param_4,misc_param_5,misc_param_6,misc_param_7,misc_param_8,misc_param_9,nucl_acid_amp,nucl_acid_ext,reverse_primers,seq_quality_check,target_subfragment,BSA_final_conc,KCl_final_conc,MgCl2_final_conc,NAP_volume,Tris_HCl_final_conc,amp_polymerase,cloning_kit,cycle_annealing_duration,cycle_annealing_method,cycle_annealing_temp,cycle_count,cycle_denaturation_duration,cycle_denaturation_temp,cycle_extension_duration,cycle_extension_temp,dATP_final_conc,dCTP_final_conc,dGTP_final_conc,dTTP_final_conc,denaturation_duration_initial,denaturation_temp_initial,domain,extension_duration_final,extension_temp_final,file_checksum,file_name,forward_barcodes,forward_primer_final_conc,gelatin_final_conc,host_cells,library_institute,library_notes,local_NAP_ids,other_additives,pcr_buffer_pH,pcr_clean_up_kits,pcr_clean_up_methods,pcr_notes,pcr_replicates,pcr_volume,polymerase_units,reverse_barcodes,reverse_primer_final_conc,run_machine_type,run_number,seq_center,seq_chem,seq_direction,seq_make,seq_model,seq_url,tail_duration,tail_polymerase,tail_temp,thermocycler
Unique name or id of the sample the library is derived from,MG-RAST Library ID,MG-RAST metagenome ID for sequences in this library,Unique name for the sequences from this library,"Library construction type. This field is either metagenome for whole genome shotgun sequencing or mimarks-survey for amplicon/target gene (eg. 16S) sequencing. Use one of: metagenome, mimarks-survey.","Sequencing method used. Use one of: sanger, pyrosequencing, abi-solid, ion torrent, 454, illumina, assembeled, other","Targeted gene or locus name for marker gene studies; e.g. 16S rRNA, 18S rRNA, nif, amoA, rpo",Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters,"List of forward PCR primers that were used to amplify the sequence of the targeted gene, locus or subfragment",Library construction method used for clone libraries,Total number of clones sequenced from the library,Specific enrichment or screening methods applied before and/or after creating clone libraries,Total number of clones in the library prepared for the project,Cloning vector type(s) used in construction of libraries,"Any other measurement performed or parameter collected, that is not listed here","Any other measurement performed or parameter collected, that is not listed here","Any other measurement performed or parameter collected, that is not listed here","Any other measurement performed or parameter collected, that is not listed here","Any other measurement performed or parameter collected, that is not listed here","Any other measurement performed or parameter collected, that is not listed here","Any other measurement performed or parameter collected, that is not listed here","Any other measurement performed or parameter collected, that is not listed here","Any other measurement performed or parameter collected, that is not listed here","Any other measurement performed or parameter collected, that is not listed here","Link to a literature reference, electronic resource or a standard operating procedure (SOP)","Link to a literature reference, electronic resource or a standard operating procedure (SOP)","List of reverse PCR primers that were used to amplify the sequence of the targeted gene, locus or subfragment",Indicate if the sequence has been called by automatic systems (none) or undergone a manual editing procedure (e.g. by inspecting the raw data or chromatograms).,"Name of subfragment of a gene or locus; e.g. V6, V9, ITS",Final BSA concentration expressed in milligram / milliliter,KCl final concentration expressed in millimolar,MgCl2 final concentration expressed in millimolar,A list of volumes of nucleic acid preps used for PCR in this batch. Expressed in microliters,Tris-HCl final concentration expressed in millimolar,The polymerase used for amplification. Compare to tail_polymerase. Also could be RT PCR if rRNA was isolated from specimen.,Cloning kit make and model,Cycle annealing time in seconds,"Cycle annealing method. Use one of: static, touchdown, gradient, other",Cycle annealing temperature in celsius. May be one or more values,Number of thermocycles,Cycle denaturation time in seconds,Cycle denaturation temperature in celsius,Cycle extension time in seconds,Cycle extension temperature in celsius,dATP final concentration in micromolar,dATP final concentration in micromolar,dATP final concentration in micromolar,dATP final concentration in micromolar,Initial denaturation time in seconds,Initial denaturation temperature in celsius,"Archaea , Bacteria , Eukarya - requiered by VAMPS",Final extension time in seconds,Final extension temperature in celsius,MD5 checksum of the sequence file submitted to MG-RAST,Name of the sequence file submitted to MG-RAST,List of barcodes attached to forward primers,Forward primer final concentration in micromolar,Gelatin final concentration expressed in percent,Component cells make and model,Name of institute creating the library,Additional notes/information about the library,A list of nucleic acid prep ids processed in this batch. This is the ID attached to the tube containing the purified nucleic acids,Any other PCR additive that is not listed here,pH of PCR buffer,"One or more can be listed, but should be in corresponding order with clean_up_methods. Ex: MoBio UltraClean PCR Clean-Up Kit","One or more can be listed. Ex: column, gel, precipitation, size exclusion filtration",Additional notes/information about PCR,Replicate PCR reactiond that are pooled,PCR buffer volume expressed in microliters,Enzymatic units per tube,List of barcodes attached to reverse primers,Reverse primer final concentration in micromolar,Sequencing machine make and model,Samples were sequenced in multiple pools with non-unique barcodes,Name of instatute sequencing was done,Sequencing chemistry used,"Sequencing direction, valid terms are forward, reverse, both - requied by VAMPS",Make of the sequencing machine,Model of the sequencing machine,URL of instatute sequencing was done,Incubation time for tailing reaction in seconds,The polymerase used in tailing reaction,Incubation temperature for tailing reaction in celsius,Thermocycler make and model
mgs24883,mgl8174,4461175.3,USchp18Mom,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,BARCODE: None,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",RUN_DATE: 4/26/10,RUN_PREFIX: USchp18Mom,EXPERIMENT_CENTER: CGS-GL,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,PRIMER: None,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",RUN_CENTER: CGS-GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d527d391a7657b76301b74af0741bf0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24884,mgl8175,4461181.3,USinfTw1.1,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,RUN_CENTER: CGS-GL,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",PRIMER: None,EXPERIMENT_CENTER: CGS-GL,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",RUN_PREFIX: USinfTw1.1,RUN_DATE: 11/8/10,BARCODE: None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6b7dda113aca97221e6d93fa50b2b84a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24885,mgl8176,4461126.3,Amz4chldM2,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,BARCODE: None,RUN_DATE: 5/25/10,RUN_PREFIX: Amz4chldM2,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,EXPERIMENT_CENTER: CGS-GL,PRIMER: None,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",RUN_CENTER: CGS-GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7f72c7917bac5454a8925c203454816a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24886,mgl8177,4461202.3,USinfTw2.2,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,RUN_PREFIX: USinfTw2.2,RUN_DATE: 11/8/10,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",BARCODE: None,PRIMER: None,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,EXPERIMENT_CENTER: CGS-GL,RUN_CENTER: CGS-GL,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faf8676ea009c256cda4822fbe2b6708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24890,mgl8179,4461172.3,USBldChld5,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,RUN_CENTER: CGS-GL,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.","EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",RUN_DATE: 4/26/10,RUN_PREFIX: USBldChld5,BARCODE: None,PRIMER: None,EXPERIMENT_CENTER: CGS-GL,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4cbff8e96cf9453dbe7fba60de1e01ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24891,mgl8180,4461124.3,Amz2infF,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,RUN_CENTER: CGS-GL,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",RUN_PREFIX: Amz2infF,RUN_DATE: 5/25/10,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",BARCODE: None,PRIMER: None,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,EXPERIMENT_CENTER: CGS-GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a53c93ba5ec87d72bd3621c339826930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24892,mgl8181,4461198.3,USinfTw18.2,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,RUN_CENTER: CGS-GL,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.","EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",RUN_PREFIX: USinfTw18.2,RUN_DATE: 11/8/10,BARCODE: None,PRIMER: None,EXPERIMENT_CENTER: CGS-GL,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024d31828f2fe308beb97606f472e36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24893,mgl8182,4461229.3,TS8,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,EXPERIMENT_CENTER: CGS-GL,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,PRIMER: None,BARCODE: None,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",RUN_DATE: None,RUN_PREFIX: USts3.T2,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",RUN_CENTER: CGS-GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309edf6cf23563a6e714522cab24d06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24894,mgl8183,4461149.3,h121B.1,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,RUN_DATE: 4/27/10,RUN_PREFIX: h121B.1,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",BARCODE: None,PRIMER: None,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,EXPERIMENT_CENTER: CGS-GL,RUN_CENTER: CGS-GL,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89c1195335ead72ca0c13f8ff0d8956f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24895,mgl8184,4461220.3,USinfTw9.2,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",RUN_CENTER: CGS-GL,EXPERIMENT_CENTER: CGS-GL,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,PRIMER: None,BARCODE: None,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",RUN_DATE: 11/8/10,RUN_PREFIX: USinfTw9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ce8d806a3949175302734d01e779d682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24896,mgl8185,4461227.3,TS9,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",RUN_CENTER: CGS-GL,EXPERIMENT_CENTER: CGS-GL,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,PRIMER: None,BARCODE: None,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",RUN_PREFIX: USts3.M1,RUN_DATE: None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f476689aa8f3ba710a8760746bb628a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24897,mgl8186,4461194.3,USinfTw16.2,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,BARCODE: None,RUN_PREFIX: USinfTw16.2,RUN_DATE: 11/8/10,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,EXPERIMENT_CENTER: CGS-GL,PRIMER: None,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",RUN_CENTER: CGS-GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b4bcb3747a119ea1eb9b1aa8a30e2884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24898,mgl8187,4461179.3,USchp60Child,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",RUN_CENTER: CGS-GL,BARCODE: None,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",RUN_DATE: 4/26/10,RUN_PREFIX: USchp60Infant,EXPERIMENT_CENTER: CGS-GL,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,PRIMER: None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a5edb1178e7056ba20d6bad9f0d72da1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24899,mgl8188,4461138.3,AmzC5adltF,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,PRIMER: None,EXPERIMENT_CENTER: CGS-GL,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",RUN_DATE: 7/9/10,RUN_PREFIX: AmzC5adltF,BARCODE: None,RUN_CENTER: CGS-GL,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2716987e73680359311ae24c34a72fd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24901,mgl8190,4461145.3,h10A.2,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,PRIMER: None,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,EXPERIMENT_CENTER: CGS-GL,RUN_PREFIX: h10A.1,RUN_DATE: 9/22/09,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",BARCODE: None,RUN_CENTER: CGS-GL,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a9abb0617db8a897f9605829a2d61612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24902,mgl8191,4461136.3,AmzC2babyF,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,RUN_PREFIX: AmzC2babyF,RUN_DATE: 7/9/10,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",BARCODE: None,PRIMER: None,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,EXPERIMENT_CENTER: CGS-GL,RUN_CENTER: CGS-GL,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d4458d26457ab4f227560ae50375bd64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24903,mgl8192,4461146.3,h10B.2,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,RUN_CENTER: CGS-GL,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",RUN_PREFIX: h10B.1,RUN_DATE: 9/22/09,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",BARCODE: None,PRIMER: None,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,EXPERIMENT_CENTER: CGS-GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73ca409f7521f1477797cef854a5225d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24904,mgl8193,4461214.3,USinfTw6.2,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,PRIMER: None,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,EXPERIMENT_CENTER: CGS-GL,RUN_DATE: 11/8/10,RUN_PREFIX: USinfTw6.2,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",BARCODE: None,RUN_CENTER: CGS-GL,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4dc9212cd9e688986048861c5237386b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24905,mgl8194,4461210.3,USinfTw4.2,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,BARCODE: None,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",RUN_DATE: 11/8/10,RUN_PREFIX: USinfTw4.2,EXPERIMENT_CENTER: CGS-GL,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,PRIMER: None,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",RUN_CENTER: CGS-GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ce2acb9d4034d4191b60b8d671b5d8e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24906,mgl8195,4461216.3,USinfTw7.2,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,BARCODE: None,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",RUN_PREFIX: USinfTw7.2,RUN_DATE: 11/8/10,EXPERIMENT_CENTER: CGS-GL,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,PRIMER: None,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",RUN_CENTER: CGS-GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37969c538564fc610a00f87581935b18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgs24907,mgl8196,4461131.3,Amz7eldM,mimarks-survey,pyrosequencing,metagenome,,,,,,,,,EXPERIMENT_CENTER: CGS-GL,LIBRARY_CONSTRUCTION_PROTOCOL: DNA sample was randomly fragmented by nebulization 500-800 bp and then labeled with a distinct MID (Multiplex IDentifier; Roche) according the manufacturer?s protocol (Rapid Library preparation for FLX Titanium). Equivalent amounts of 12 MID-labeled samples were pooled prior to each pyrosequencer run.,PRIMER: None,BARCODE: None,"EXPERIMENT_TITLE: Human gut microbiome differentiation viewed across cultures, ages and families",RUN_PREFIX: Amz7eldM,RUN_DATE: 5/25/10,"EXPERIMENT_DESIGN_DESCRIPTION: characterizing the bacterial species and gene content in fecal microbiomes sampled from 524 adults and children from 147 families living in 3 different countries (Malawi in Africa, Venezuelan Amerindians in South America, and residents of the USA in North America) that exemplify distinctive living environments and cultural traditions.",RUN_CENTER: CGS-GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36d530d57611d3fcf8e9c799e56f9f68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
